Ano,Mes,Ano_Mes,Precios_Mensuales,Aportes_Energia_GWh,Volumen_Util_Diario_Energia_GWh,Demanda_Energia_SIN_GWh,CEN_Total,CEN_Hidro,CEN_Termica
2006,11,2006-11,80.43823611111108,5159.4374,13287.578256,4272.222490950002,13.30334,8.94859,4.32265
2006,12,2006-12,64.23973118279568,3387.6925,12611.6855077,4413.167305000002,13.28046,8.94739,4.28865
2007,1,2007-01,88.46431451612901,2209.8565,11143.1350216,4309.488798810002,13.28046,8.94739,4.28865
2007,2,2007-02,106.98473214285714,1222.6417,9102.2885552,4066.9464244500004,13.33046,8.99739,4.28865
2007,3,2007-03,100.79213709677418,2178.2697,7665.7151826,4511.318056060001,13.33246,8.99739,4.28865
2007,4,2007-04,91.82005555555554,4208.9499,7837.6229756,4242.6867974900015,13.352360000000001,8.99739,4.30855
2007,5,2007-05,74.92766129032255,5602.0409,8960.8141897,4474.7452949200015,13.40626,9.017290000000001,4.34255
2007,6,2007-06,75.86245833333331,6025.1741,10532.3485187,4314.7482910300005,13.40626,9.017290000000001,4.34255
2007,7,2007-07,80.26227150537633,4254.1572,10413.0410411,4468.43490962,13.40999,9.02102,4.34255
2007,8,2007-08,85.21236559139786,4740.7581,11056.104111,4507.818362930001,13.4108,9.02183,4.34255
2007,9,2007-09,74.02784722222223,4256.6489,11106.8119391,4414.65756573,13.412,9.02303,4.34255
2007,10,2007-10,80.52264784946239,5849.9436,12260.1912506,4541.84922831,13.392100000000001,9.00313,4.34255
2007,11,2007-11,62.605930555555574,4794.9301,12482.5325443,4453.575381900001,13.392100000000001,9.00313,4.34255
2007,12,2007-12,85.053938172043,3803.6865000000003,12090.4426269,4546.971015660001,13.4141,8.99113,4.37855
2008,1,2008-01,95.31559139784945,2623.4641,10915.2094156,4418.46169418,13.4141,8.99113,4.37855
2008,2,2008-02,100.63142241379308,2551.3406,9657.1677113,4314.843700570001,13.4141,8.99113,4.37855
2008,3,2008-03,89.54369623655913,2914.1798,8701.0295359,4363.511397800002,13.41248,8.98951,4.37855
2008,4,2008-04,102.94045833333334,3236.3542,8072.0762889,4471.218500730001,13.47953,8.99656,4.43855
2008,5,2008-05,96.52822580645163,5651.722,9314.745896299999,4513.135835240002,13.47953,8.99656,4.43855
2008,6,2008-06,76.02016666666664,6640.7211,11239.6180099,4377.900501190002,13.47953,8.99656,4.43855
2008,7,2008-07,62.639758064516116,7292.2203,12866.2590676,4595.369676540003,13.47953,8.99656,4.43855
2008,8,2008-08,73.10029569892474,5632.0184,12993.6116676,4546.616062660001,13.47653,8.99656,4.43555
2008,9,2008-09,80.72452777777775,4645.1299,12642.8372758,4543.985355020002,13.47653,8.99656,4.43555
2008,10,2008-10,82.86857526881722,5416.5935,12356.250815200001,4682.505017120003,13.475530000000001,8.99656,4.43555
